,text,explanation,origin
1339,Minced oaths,"The English, being a restrained lot, have a long list of euphemistic phrases, many of which became
 part of the language before it spread to other parts of the world. The root cause of these is a
 wish to communicate without being explicit. This is something the English are particularly fond of,
 hence their long tradition of double-entendre comedy.",English
1340,Minced words,"To mince words is to moderate one's language, to keep within the bounds of  what is prudent or polite. Minced words are usually referred to in the negative 'do not mince your words'.",English
1341,Mind your Ps and Qs,Be on your best behaviour; be careful of your language. ,English
1342,Mind's ear,One's aural memory or imagination.,English
1343,Mind's eye,One's visual memory or imagination.,English
1344,Ministering angel shall my sister be - A ,"To minister is to serve, or act as a subordinate agent. So a ministering angel is a kind-hearted person, providing help and comfort.",English
1345,Mint condition,A condition of perfection or newness suggestive of that of a freshly minted coin.,English
1346,Misery acquaints a man with strange bedfellows,"From Shakespeare's The Tempest, 1610:",English
1347,Misquotes,NO INFORMATION,English
1348,Miss is as good as a mile,A narrow miss is as bad as a wide miss - they are both misses. ,English
1349,Moaning Minnie,"A
habitual grumbler.",English
1350,Mondegreens,Mondegreens are misheard song lyrics. A fuller explanation of the meaning of the word mondegreen is best shown by retelling how it originated...,English
1351,Montezuma's Revenge,The diarrhoea (spelled in America as diarrhea)  that is often suffered by tourists when travelling to foreign parts.,English
1352,'Money' phrases,"Money: after sex and the weather, this must be our favourite topic of conversation. Here's the phrases and sayings that we use to talk about it:",English
1353,Money for old rope,A profitable return for little effort. ,English
1354,Monstrous regiment of women,"A disparaging description, often used to describe feminist or rowdy women by their detractors.",English
1355,Monty - The full,"Complete, the whole thing.",English
1356,Moot point,An irrelevant argument. ,English
1357,Morbid obesity,The condition of having a body weight high enough to pose a severe risk to health. This is informally measured as having a body weight which is more than twice the optimum. It is indicated more precisely by a 'body mass index' of 40 or over (BMI = the weight in kilograms divided by the square of height in metres).,English
1358,More bang for your buck,More for your money.,English
1359,More fool you,Said in reply to someone who has reported doing something that is considered to be obviously foolish.,English
1360,"More haste, less speed","Something, even if it isn't what you ideally would prefer, is better than nothing.",English
1361,More honoured in the breach than in the observance,This is usually thought to mean a rule which is more often broken than observed. The context of the play shows the real meaning as 'it is more honourable to breach than to observe'.,English
1362,More light!,NO INFORMATION,English
1363,Morning person,"Someone who functions better in the morning, as compared to later in the day. ",English
1364,Mother country,"One's native land, or the native land of one's ancestors. ",English
1365,Motley crew,An assorted and ill-disciplined group of ne'er do wells. ,English
1366,Mouth-watering,Delicious; tasty enough to make you salivate.,English
1367,Movable feast,A feast day that falls on the same day of the week each year but which has a date which varies.,English
1368,Movers and shakers,"People of energetic demeanour, who initiate change and influence events.",English
1369,Moving finger writes - The ,The phrase 'The moving finger writes...' expresses the notion that whatever one does in one's life is one's own responsibility and cannot be changed.,English
1370,Moving the goalposts,Changing the target of a process or competition to by one side in order to gain advantage.,English
1371,Much Ado about Nothing,'Much ado about nothing' means 'a great deal of fuss over a thing of little importance'.,English
1372,Much of a muchness,Similar - difficult to distinguish.,English
1373,Mud - your name is,You are unpopular.,English
1374,Mull (something) over,"To 'mull something over' is to turn it over in one's mind, in a reflective way.",English
1375,Multitude of sins,A number of undesirable qualities.,English
1376,Mumbo jumbo,"Nonsense, especially meaningless speech and often associated with spurious religious ritual. ",English
1377,Mum's the word,'Mum's the word' means 'keep quiet - say nothing'.,English
1378,Murphy's Law,"The so-called law is usually expressed as 'If anything can go wrong, it will'.",English
1379,Music has charms to soothe the savage breast,Literal meaning. That literal meaning is open to misinterpretation as this phrase is frequently written as 'music has charms to soothe the savage beast'.,English
1380,Mutt's nuts - The ,"Excellent
- the highest quality.",English
1381,Mutt and Jeff,When written and pronounced as Mutt 'n' Jeff this has the meaning deaf. It is also a slang term for the 'good cop/bad cop' method of police interrogation or any other pair of people or items which are contrasting in size or nature. ,English
1382,Mutton dressed as lamb,'Mutton dressed as lamb' is a put-down aimed at an ageing woman who is dressed or made up of someone much younger. ,English
1383,My bad ,My mistake - I'm to blame. ,English
1384,My better half ,My husband or my wife. ,English
1385,My cup of tea,Something or someone that one finds pleasing.,English
1386,My cup runneth over,'My cup runneth over' means 'I have more than enough for my needs'.,English
1387,My giddy aunt,An exclamation of surprise. ,English
1388,My husband and I,This turn of phrase has often been used by Queen Elizabeth II in public speeches. The Queen married the Duke of Edinburgh (formerly Prince Philip of Greece and Denmark) on 20 November 1947. Since that day he has been resigned to walking a few paces behind her in public. ,English
1389,My mind's eye,One's visual memory or imagination.,English
1390,My old china,Affectionate term for a friend.,English
1391,My old Dutch,An affectionate term for wife.,English
1392,My salad days,"The
 days of one's youthful inexperience.",English
1393,My stars and garters,A jocular exclamation or expression of astonishment. ,English
1394,My way or the highway,"The idiom 'my way or the highway' forcefully expresses the view that 'you can take it or leave it'. In fact, it really means 'take it or leave', as the highway refers to the road the listener should go down if they don't agree with the speaker.",English
1395,Nail your colours to the mast,"To defiantly display one's opinions and beliefs. Also, to show one's intention to hold on to those beliefs until the end.",English
1396,Namby-pamby,Childish and weakly sentimental. ,English
1397,Name and shame,The publication of the identity of a person or group that is culpable in some anti-social act in order to shame them into remorse. ,English
1398,Name is mud,You are unpopular.,English
1399,"Nasty, brutish and short","'Nasty, brutish and short' is a 17th century phrase describing the life of mankind when in a state of war. ",English
1400,Nation of shopkeepers - A ,"This proverbial saying has a straightforward literal meaning, although it is intended to imply criticism of the English as a nation with little ambition.",English
1401,Nautical phrases,Many phrases that have been adopted into everyday use originate from seafaring - in particular from the days of sail. Virtually all of these are metaphorical and the original nautical meanings are now forgotten. ,English
1402,Near the knuckle ,"Just at the limit of acceptability, especially regarding sexual morals",English
1403,Necessity is the mother of invention,Difficult situations inspire ingenious solutions.,English
1404,Ne'er cast a clout till May be out,"With most phrases and sayings the meaning is well understood but the origin is uncertain. With this one the main interest is the doubt about the meaning. So, this time, we'll have the origin first. ",English
1405,Ne'er do well,"A worthless, good for nothing person.",English
1406,Needs must ,"Necessity compels. In current usage this phrase is usually used to express something that is done unwillingly but with an acceptance that it can't be avoided; for example, I really don't want to cook tonight, but needs must, I suppose.",English
1407,Neither a borrower nor a lender be,Literal meaning.,English
1408,"Neither fish nor flesh, nor good red herring",A deliberate misleading and diverting of attention from the real issue. ,English
1409,Neither here nor there,Of no consequence either one way or the other.,English
1410,Nest-egg,"Savings, set aside for later use.",English
1411,Nest of vipers - A ,"A group of iniquitous people, congregating together.",English
1412,Never give a sucker an even break,"Literal meaning, but usually used for comic effect. ",English
1413,Never knowingly undersold,"The slogan
of the John Lewis Partnership from the 1920s.",English
1414,Never look a gift horse in the mouth,The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.,English
1415,Never-never land,A utopian dreamland.,English
1416,Never the twain shall meet,Two things which are so different as to have no opportunity to unite.,English
1417,New kid on the block,A new arrival in an area or in a group of young friends.,English
1418,Nice as ninepence,"Neat, tidy, well-ordered. ",English
1419,Nice kettle of fish,"The expression 'a kettle of fish' is usually part of the phrases 'a fine kettle of fish', 'a pretty kettle of fish' etc, which mean 'a muddle or awkward state of affairs'. ",English
1420,(In the) nick of time ,Just in time; at the precise moment.,English
1421,Night owl,A person who is active late at night. ,English
1422,Nine days' wonder,A novelty that loses its appeal after a few days. ,English
1423,Nip and tuck,"A close result in a race or contest. More recently, the name of a cosmetic surgery procedure. ",English
1424,Nip in the bud,To nip something in the bud is to put a stop to it while it is still in its early development.,English
1425,Nitty-gritty,The heart of the matter; the basic essentials; the harsh realities.,English
1426,No-brainer,Something that requires little mental effort or intelligence to perform or understand. The term is often applied to decisions which are straightorward or sometimes to people who appear to lack intelligence. ,English
1427,No dice,The expression 'no dice' is a refusal to accept a proposition - equivalent to 'nothing doing'. ,English
1428,No holds barred,Without restrictions or rules. ,English
1429,No laughing matter,Not a subject for levity. ,English
1430,No love lost,'There's no love lost between them' is used to describe a relationship between two people who dislike each each.,English
1431,No man is an island,The phrase 'no man is an island' expresses the idea that human beings do badly when isolated from others and need to be part of a community in order to thrive. ,English
1432,No more cakes and ale?,"Cakes and ale are synonymous with the good life, like beer and skittles.",English
1433,No names: no pack-drill,Say nothing and avoid repercussions.,English
1434,No quarter given,"Show no mercy or concession; in its original usage, show no mercy for a vanquished opponent. ",English
1435,No rest for the wicked,'No rest for the wicked has a literal meaning - that the wicked shall be tormented in Hell. ,English
1436,No room to swing a cat,"An awkwardly small, confined space.",English
1437,No truck with,To reject or to have nothing to do with.,English
1438,"No way, Jose",Absolutely not; never. ,English
1439,Nod is as good as a wink - A ,"'A nod is as good as a wink' expresses the idea that, to a person who is ready to understand or undertake something, any subtle signalling of it is sufficient. The context is usually of some undertaking that is borderline illegal or of sexual innuendo. ",English
1440,Nod - The land of,The Land of Nod is a mythical  land where we travel to to sleep.,English
1441,Norange - A ,"In 1914 the Danish grammarian Otto Jespersen coined the term 'metanalysis'. That's rather a dry start to a piece on what is a lively and intriguing facet of the English language. To find out what prompted Jespersen to believe that we needed a new word, let's bring in a stage prop - the humble orange. ",English
1442,Nosy parker,"A 'nosy parker', sometimes spelled 'nosey parker', is a person of an overly inquisitive or prying nature. ",English
1443,Not a dicky-bird,Not a sound; not an utterance.,English
1444,Not by a long chalk,Not by any means; a good distance away from being true.,English
1445,Not my cup of tea,Something or someone that one finds pleasing.,English
1446,Not for all the tea in China,Not at any price.,English
1447,Not playing with a full deck,'Not playing with a full deck' might be said about someone who was considered stupid.,English
1448,Not rocket science,It (the subject under discussion) isn't difficult to understand.,English
1449,Not tonight Josephine,This is the supposed response by Napoleon Bonaparte when declining sex with Empress JosÃ©phine.,English
1450,Not worth a plugged nickel,Worthless.,English
1451,Not worth the candle,Something might be considered to be 'not worth the candle' if is too insignificant or worthless to be worth bothering with.,English
1452,Nothing is certain but death and taxes,A rather fatalistic and sardonic proverb. It draws on the actual inevitability of death to highlight the difficulty in avoiding the burden of taxes. ,English
1453,Nothing succeeds like success,"A proverb, expressing the idea that success breeds further success.",English
1454,"Nothing ventured, nothing gained","In order to achieve, you need to act and take risks.",English
1455,Now is the winter of our discontent,'Now is the winter of our discontent' express the idea that we have reached the depth of our unhappiness and that better times are ahead.,English
1456,Nth degree ,To the utmost degree; without limit.,English
1457,Nul points,"'No points' - the lowest possible score awarded to performers in the Eurovision Song Contest. The term is also sometimes used as a jokey judgement on any hopelessly inept performance. This is sometimes accompanied by the raising of imaginary cards showing zero, in a mock simulation of the scoring in ice-skating competitions. ",English
1458,Nutshell - In a,In a few words; concisely stated.,English
1459,"O Romeo, Romeo! wherefore art thou Romeo?","The literal meaning of 'O Romeo, Romeo! wherefore art thou Romeo?' would appear to be 'Where are you Romeo?'. In fact, using the meaning of wherefore that would have been commonplace in Shakespeare's day, the playright suggested the meaning of 'For what reason are you Romeo?'.",English
1460,"O ye, of little faith","This is the rebuke levelled at the disciples of Christ, when seeming to doubt his divinity. The phrase is also more widely used to describe any Christian doubter. In a secular setting it may be intended as a humorous jibe when doubting someone's abilities. ",English
1461,Odds bodkins,God's body.,English
1462,Off his own bat,By an individual's own efforts. ,English
1463,Off the record,Something said in confidence that the speaker doesn't want attributed to them.,English
1464,Off with his head,"Literal meaning. That is, 'chop off his head'. It is now usually used humorously as a means of mildly reproaching someone. ",English
1465,Offing - In the,Imminent; likely to happen soon.,English
1466,"Oh, my stars and garters",A jocular exclamation or expression of astonishment. ,English
1467,"Oh, they have slain the Earl of Moray and Lady Mondegreen",The misheard lyric that was the source of the generic term for misheard lyrics - mondegreens. ,English
1468,Okay,Satisfactory - all correct. ,English
1469,Okey-dokey,'Okey-dokey' is just an extended form of 'okay'. ,English
1470,Old as Methuselah,"Very
old.",English
1471,Old as the hills,Exceedingly old.,English
1472,Old chestnut,"A story that has been told repeatedly before, a 'venerable' joke. Hence, in extended use, anything trite, stale, or too often repeated.",English
1473,Old codger,"An old man, especially one who is eccentric, curmudgeonly or grotesque.",English
1474,Old hat,Old-fashioned; hackneyed.,English
1475,Old lang syne - see auld lang syne,"The Anglicized version of 'auld lang syne', which means old long-since or old long-ago. ",English
1476,On a hiding to nothing,"To be faced with a situation which is pointless, as a successful outcome is impossible. This is usually expressed in terms of a sporting contest in which one of two outcomes is foreseen, either a hiding or nothing. The 'to' in the phrase indicates alternative outcomes, as in terms like '6 to 1' or 'dollars to doughnuts'. ",English
1477,On a wing and a prayer,"In a difficult situation, relying on meagre resources and luck to get out of it. ",English
1478,On Carey Street,"Euphemism
for being bankrupt or in debt.",English
1479,On cloud nine,To be 'on cloud nine' is to be in a state of blissful happiness.,English
1480,On queer street,An imaginary street where people in difficulty live. ,English
1481,On tenterhooks,To be 'on tenterhooks' is to be in a state of uncomfortable suspense or impatience. ,English
1482,On the ball,To be alert; in command of one's senses. ,English
1483,On the bubble,"On the threshold; finely balanced between success and failure; for example, if a qualifying competition for an event allowed the top eight runners to proceed to the next round then those who were close to qualification and could get through by a small increase in performance would be said to be 'on the bubble'. ",English
1484,On the button,Just right; exactly on target or at exactly the right time.,English
1485,On the dole,Unemployed and in receipt of state benefit.,English
1486,On the fiddle,Engaged in a fraud. ,English
1487,On the pig's back,To be in luck; in a prosperous happy state. ,English
1488,On the QT,On the quiet.,English
1489,On the shoulders of giants,Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.,English
1490,On the side of the angels,(Originally) Supporting the theory of the divine creation.,English
1491,On the wagon,'On the wagon' - abstaining from alcohol. 'Off the wagon' - returned to drinking after an attempt to give it up. ,English
1492,On the warpath,Intent on a confrontation or fight. ,English
1493,On with the motley,Prepare for a stage performance. Latterly also used more widely just to mean let's begin or let's continue. ,English
1494,On your beam ends,Hard up; in a bad situation. ,English
1495,On your tod,On your own. ,English
1496,"Once bitten, twice shy","The proverb 'once bitten, twice shy' suggests that, when someone is hurt doing something, they are wary of doing it again for fear of being hurt a second time.",English
1497,Once in a blue moon,Very rarely. ,English
1498,"Once more unto the breach, dear friends, once more",Let us try again one more time.,English
1499,One-hit wonder,"A performer or act, usually a singer or band, who has just one popular success.",English
1500,One fell swoop - At,'At one fell swoop' means 'suddenly; in a single action'.,English
1501,One for the road,A final drink taken just before leaving on a journey.,English
1502,One foot in the grave,To be near to death.,English
1503,One good turn deserves another,"'One good turn deserves another' is a proverbial expression that means, when someone does you a good turn, a good turn done in return is appropriate.",English
1504,One hand washes the other,The proverb 'one hand washes the other' expresses the idea that mutual cooperation can help both parties. ,English
1505,One over the eight,The final drink that renders someone drunk.,English
1506,One sandwich short of a picnic,"A jokey, colloquial term for stupid.",English
1507,One small step for man,"These were Neil
Armstrong's words on first setting foot on the moon in 1969. The line is a strong contender as the most famous  ever to have been uttered. ",English
1508,One stop shop,"A location, usually a shop, where various requirements can be met in one place. ",English
1509,One swallow doesn't make a summer,A single instance of something is just that; it doesn't indicate a trend.,English
1510,One's heart's content,To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content. ,English
1511,Oops-a-daisy,An exclamation made when encouraging a child to get up after a fall or when lifting a child into the air.,English
1512,Open season,"A time when criticism or other negative actions may be expected, with no mercy shown. ",English
1513,(The) order of the boot,"Given
the sack, that is, asked to leave your job (see 'get the sack').",English
1514,Ough - the many ways to pronounce,English isn't an easy language to learn. One reason for that is the non-standard spelling and pronunciation. There's no better example of that than in the many ways that 'ough' is pronounced. ,English
1515,Out of sight,Excellent; extraordinary.,English
1516,"Out of sight, out of mind",The idea that something is easily forgotten or dismissed as unimportant if it is not in our direct view. ,English
1517,Out of sorts,To be 'out of sorts' is to be mildly unwell; not in one's usual health or state of mind. ,English
1518,Out of the jaws of death,Saved from great danger.,English
1519,Out of the mouths of babes and sucklings,"From the Bible, King James Version:",English
1520,Out on a limb,Put oneself in an isolated  position in one's support of someone or something.,English
1521,Over a barrel,To be 'over a barrel' is to be left without choice; in someone else's power. ,English
1522,Over-egg the pudding,To  'over-egg the pudding' is to go too far in exaggerating or embellishing something - to adorn or supply to excess. ,English
1523,Over the moon,Very happy or delighted.,English
1524,Over the top,To an excessive degree; beyond reasonable or acceptable limits.,English
1525,"Overpaid, oversexed, and over here","Comic line, making fun of the US Army in Europe in WWII. There was a good humoured banter between the GIs that were stationed in Britain prior to and during WWII and the British citizenry. The GIs had a come-back - calling the Brits, ""underpaid, undersexed and under Eisenhower"". ",English
1526,Oxo cube,The Tube (London Underground train).,English
1527,Ps and Qs - Mind your ,Be on your best behaviour; be careful of your language. ,English
1528, Packed to the gunwales,Full to the brim; packed tight.,English
1529,Paddle your own canoe,Act independently and decide your own fate.,English
1530,Paint the town red,To 'paint the town red' is to engage in a riotous spree.,English
1531,Panic stations,"A state of high alert, often a simulated panic for comic effect.",English
1532,Paper tiger,"A
person who appears to have power but is in reality ineffectual.",English
1533,Parting shot / Parthian shot ,"A final remark, usually cutting or derogatory, made just before departing.",English
1534,Pass over to the other side,'Passing over to the other side' is a euphemism for dying.,English
1535,Pass the buck,To 'pass the buck' is to evade responsibility by passing it on to someone else.,English
1536,Paying guest - A,A lodger. ,English
1537,P.D.Q. - pretty damn quick,Pretty damn quick.,English
1538,Pearls before swine,Items of quality offered to those who aren't cultured enough to appreciate them.,English
1539,Pears for your heirs,An adage to encourage us to think long-term and look after future generations.,English
1540,Peeping Tom,A voyeur. A man who furtively observes naked or sexually active people for his own gratification.,English
1541,Peg out,Die.,English
1542,Pell-mell,In disorderly confusion; with reckless haste.,English
1543,(The) pen is mightier than the sword ,Literal meaning.,English
1544,Pennies from heaven,"Money acquired without effort or risk. The phrase is applied to any unexpected benefits, but especially financial ones.",English
1545,Penny dreadful,"A cheap publication, comntaining melodramas written in a colourful and down-market style.",English
1546,(The) penny drops ,"A
belated realization of something after a period of confusion or ignorance.",English
1547,Penny pinching,Parsimonious; mean with money.,English
1548,Penny for your thoughts - A,An invitation to a person lost in thought to share his or her preoccupation.,English
1549,Penny saved is a penny earned - A ,The notion expressed in the proverbial saying 'A penny saved is a penny earned' is that it is as useful to save money that you already have as it is to earn more. ,English
1550,Penny wise and pound foolish,Careful with one's spending of small sums of money but careless and wasteful with larger amounts.,English
1551,Pester power,"The power children have, by repeated nagging, of influencing their parents to buy advertised or fashionable items.",English
1552,Peter out,Dwindle away to nothing.,English
1553,Petty cash,"An accessible store of money, intended for small purchases.",English
1554,Phrases and sayings quiz,NO INFORMATION,English
1555,Phrases that people get wrong,Anyone learning English has a hard job on their hands. Lots of words don't sound the way you might expect from their spelling and lots of idiomatic phrases don't seem  to make much sense.,English
1556,Physician heal thyself,"Attend to one's own faults, in preference to pointing out the faults of others. ",English
1557,Pick 'n' mix ,"A range of sweets, chocolates, ice-creams etc., from which a selection can be made.",English
1558,Picture is worth a thousand words - A ,"A picture tells a story just as well as, if not better than, a lot of written words.",English
1559,Picture-perfect,A faultless image.,English
1560,Pie - as easy as ,Very easy.,English
1561,Pie in the sky,"A promise of heaven, while continuing to suffer in this life.",English
1562,Piece of cake - A,A straightforward task that can easily be accomplished. ,English
1563,Piece of piss,A straightforward task that can easily be accomplished. ,English
1564,Piece of the action,"A share in an activity, or in its profits. ",English
1565,Pig in a poke,"A pig in a poke is an
              offer or deal that is foolishly accepted without being examined first.",English
1566,Pigeon-chested,Having a narrow chest with a protruding breastbone - alluding to the appearance of pigeons. ,English
1567,Pig's back - on the ,To be in luck; in a prosperous happy state. ,English
1568,Pig's ear,"As 'pig's ear' - Cockney rhyming slang for beer. 
  As 'in a pig's ear' - an expression of disbelief.
    
    As 
  'make a pig's ear of ' - make a mess or muddle.",English
1569,(In a) pig's eye,An expression of emphatic disbelief.,English
1570,Pig and whistle,A popular name for British pubs. ,English
1571,Piggyback,"To ride piggyback is to be carried on the back and shoulders of another person. Often, the person being carried is a child, either by an adult or another child. More recently the term has been applied to any person or process that is carried along by another.",English
1572,Pigs might fly,"A humorous/sarcastic remark, used to indicate the unlikeliness of some event or to mock the credulity of others; for example, ""I might make a start on papering the back bedroom tomorrow"". ""Yes, and pigs might fly"". ",English
1573,Pin money,Originally a small allowance given to a woman in order to purchase clothes etc. for herself. More recently it is used to describe any small amount of money which might be earned by children or the low-paid for some service.,English
1574,(Take with a) pinch of salt,To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.,English
1575,Pip - Get the/got the /have the ,Become irritated or annoyed. ,English
1576,Pipe down,A request to be quiet.,English
1577,Pipe dream - A,A 'pipe dream' is an unrealistic hope or fantasy.,English
1578,Piping hot,"Very hot, usually referring to food.",English
1579,Piss and vinegar - Full of ,"Rowdy, boisterous, full of youthful energy. ",English
1580,Pitch black,"Intensely dark, usually in reference to a moonless, starless night.",English
1581,Pitch dark,"Intensely dark, usually in reference to a moonless, starless night.",English
1582,Place for everything and everything in its place - A ,The proverbial notion that there should be 'a place for everything and everything in its place' is the idea that everything should have somewhere to be stored  and that it should be tidily returned there when not in use. ,English
1583,Plague on both your houses - A ,"A frustrated
 curse on both sides of an argument.",English
1584,Plain sailing,Smooth and easy progress. ,English
1585,Plates of meat,Feet.,English
1586,Play by ear,"Initially, this referred to the playing of music without reference to printed notation. More recently it is also used figuratively to mean 'handle a situation in an impromptu manner', that is, without reference to pre-determined rules or guidelines.",English
1587,Play Devil's advocate,"Figuratively, one who takes a contrary position for the sake of testing an argument, or just to be perverse.",English
1588,Play ducks and drakes,To behave recklessly; to idly squander one's wealth. ,English
1589,Play fast and loose,Be inconstant and unreliable.,English
1590,Play gooseberry,To play gooseberry is to act as a chaperone to a couple who are romantically inclined. ,English
1591,Play it again Sam,"Bogart's supposed line from Casablanca. This is well-known as one of the most widely misquoted lines from films. The actual line in the film is 'Play it, Sam'. Something approaching 'Play it again, Sam' is first said in the film by Ilsa Lund (Ingrid Bergman) in an exchange with the piano player 'Sam' (Dooley Wilson): ",English
1592,Play second fiddle,To 'play second fiddle' is to take a subordinate position to another person.,English
1593,Play silly buggers,"I have been watching the 30th cricket Test series between England and India and  musing about the oddly named field positions 'Silly mid-on', 'Silly point' etc. I've watched enough cricket to know that these are positions close to the batsman, but wondered why they are labelled 'silly' and whether there might be  an archaic 'near to' meaning of the word. As it turns out, there isn't. 'Silly' in this context means what we normally mean by the word, that is, 'foolish or empty-headed'. Anyone who has been hit on the knee (or elsewhere) by a cricket ball will understand that standing about six feet away from the batsman is just plain silly.",English
1594,Play the giddy goat,Behave foolishly. ,English
1595,Play the race card,"To attempt to gain advantage in an election by pandering to the electorate's racism. Also, more recently, to attempt  to gain advantage by drawing attention to one's race. ",English
1596,Pleased as Punch,"Very
pleased.",English
1597,Plug-ugly,"Extremely ugly, usually of people.",English
1598,Plugged nickel,Worthless.,English
1599,Poetic justice,"The allocation of an ideal form of justice, where virtue is rewarded and infamy punished, as befitting a work of poetry or drama.",English
1600,Point-and-click ,"Relating to digital equipment, for example a camera or computer interface, in which action action is performed as the result of a single clicked button press.",English
1601,Point Percy at the porcelain,'Point Percy at the porcelain' is a comic reference to urinating.,English
1602,Politically correct,'Politically correct'  is that which used language that conforms to liberal or radical opinion by avoiding anything which might cause offence to or disadvantage social minorities.,English
1603,Point-blank,Close enough to go directly to a target.,English
1604,Point to point,"A
race, usually a horse-race, in a direct line across countryside. The term has also migrated to other areas which involve transit from one specific point to another; for example, direct air transport from one city to another and the 'P2P [Point to Point] Protocol' used in Internet communications. ",English
1605,Pommy bashing,Australian slang term for attacks on the English.,English
1606,Pomp and circumstance,An ostentatious display of ceremonial grandeur.,English
1607,Pond life,A worthless or stupid person or group.,English
1608,Pony and trap,"Rubbish; nonsense, or 'of poor quality'. Often shortened just to 'pony'. ",English
1609,Pony up,"Pay  money, especially  a payment that is in arrears.",English
1610,Pop goes the weasel,The name of the nursery rhyme and song.,English
1611,Pop your clogs,To 'pop your clogs' is to die.,English
1612,Popular fallacies - The Nonsense Nine ,"

People like to retell stories about the origin of some phrase or other. I get mail, phone calls, posts on Facebook. ",English
1613,Pork pies,Lies. Often shortened to 'porkies'.,English
1614,"POSH - Port out, starboard home","Elegant, swanky, rich. ",English
1615,Pot calling the kettle black - The ,'The pot calling the kettle black' is a response often given when someone  criticises  another for a fault they also  have themselves.,English
1616,Take potluck ,"Take one's chance as to what meal one is served when accepting another's hospitality. Also, in the USA, potluck is the name of a communal meal, in which participants each bring a dish to be shared. ",English
1617,Pound of flesh,Something which is owed that is ruthlessly required to be paid back.,English
1618,Pour oil on troubled waters,Attempt to calm a problematic situation.,English
1619,Power corrupts; absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely'  conveys the opinion that, as a person's power increases, their moral sense diminishes.",English
1620,Power dressing,"A stylish and expensive clothing style, intended to convey the impression of assertiveness and competence and predominantly worn by women..",English
1621,Powers that be - The ,The established government or authority.,English
1622,Praying at the porcelain altar,'Praying at the porcelain altar' is a comic reference to kneeling and vomiting down the toilet.,English
1623,Preaching to the choir,To (pointlessly) try to convince a person or group to accept an opinion that they already agree with.,English
1624,Preposterous,Now chiefly used to mean absurd; ridiculous. ,English
1625,Press into service,Induce someone to join the military. More recently the phrase is used to mean 'make impromptu use of' some article or person to fulfil some task - usually someone or thing that isn't normally used for such a task.,English
1626,Pretty kettle of fish,"The expression 'a kettle of fish' is usually part of the phrases 'a fine kettle of fish', 'a pretty kettle of fish' etc, which mean 'a muddle or awkward state of affairs'. ",English
1627,Pretty penny - A,"A considerable profit, or a large sum of money.",English
1628,Prick up your ears,To begin listening attentively.,English
1629,Pride comes before a fall,The proverbial saying 'pride comes before a fall' is a warning that  haughtiness and  hubris leads to failure and loss. ,English
1630,Prime time,'Prime time' is the time of day when the TV audience is at its largest. ,English
1631,Primrose path,"The pleasant route through life, of pleasure and dissipation.",English
1632,Procrastination is the thief of time,"Putting off an action leads to time wasting. If something is necessary, it is best to act quickly to accomplish it.",English
1633,Proof of the pudding is in the eating - The,To fully judge how effective something is you need to use it for its intended purpose.,English
1634,Proverbs - A list of ,What is a proverb?,English
1635,Pull in your horns,Restrain one's ardour; lower one's ambitions.,English
1636,Pull out all the stops,Make every possible effort.,English
1637,"Pull the other one, it's got bells on",To pull someone's leg is deceive them in a humorous or playful way. ,English
1638,Pull the wool over your eyes,"To deceive, to hoodwink.",English
1639,Pull up stakes,To move home. Sometimes also given as 'pull up sticks'. ,English
1640,Pull your horns in,Restrain one's ardour; lower one's ambitions.,English
1641,Pull your finger out,Hurry up; make every possible effort.,English
1642,Pull yourself up by your bootstraps,To 'pull yourself up by your bootstraps' is to improve your situation by your own unaided efforts.,English
1643,Pulling one's leg,To pull someone's leg is deceive them in a humorous or playful way. ,English
1644,Punch above one's weight,Competing against someone who you are no match for.,English
1645,Pure as the driven snow,Entirely pure.,English
1646,Purple patch,"An overly elaborate or effusive piece of writing. Also, a period of notable success or good luck.",English
1647,Push the boat out,"To spend generously. To spend more than one is normally accustomed to doing, often to mark a special occasion.",English
1648,Push the envelope,"To attempt to extend the current limits of performance. To innovate, or go beyond commonly accepted boundaries.",English
1649,Put a damper on,"Make dishearted, especially to diminish interest in something that was previously exciting.",English
1650,Put a sock in it,A request to be quiet.,English
1651,Put a spanner in the works,"To throw a spanner in the works is to, deliberately or otherwise, cause disruption; to interfere with the smooth running of something. ",English
1652,Put on the wooden overcoat,Die.,English
1653,Put on your thinking cap,Take time for consideration of some question.,English
1654,Put paid to,To deal with effectively; to finish something off.,English
1655,Put the cart before the horse,Reverse the accepted or logical order of things.,English
1656,Put the mockers on,"To thwart someone's efforts or cause them to have bad luck. Also, to have the mockers on - to be cursed with bad luck.",English
1657,Put the wood in the hole,Close the door.,English
1658,Put up your dukes,Put up your fists and prepare to fight.,English
1659,Put your back up,Make one angry.,English
1660,Put your best foot forward,Embark on a journey or task with purpose and gusto.,English
1661,Put your nose out of joint ,Hurt your feelings or upset your plans. ,English
1662,Put your shoulder to the wheel ,To 'put your shoulder to the wheel' is to respond to a problem by applying oneself and making your  best effort. It is similar in meaning to  'get stuck in'.,English
1663,Pyrric victory,"A
victory gained at too great a cost.",English
